id,date,lon1,lat1,lon2,lat2
1,20101212_01:30:00,0046.500E+00,0056.700E+00,0182.000E+00,0059.500E+00
2,20101214_13:37:00,0166.000E+00,0040.200E+00,0181.000E+00,0013.500E+00
3,20110317_12:21:00,0183.000E+00,-0018.600E+00,0184.000E+00,-0024.400E+00
4,20110605_03:55:00,0323.000E+00,0041.200E+00,0352.000E+00,0028.200E+00
5,20130123_13:06:00,0342.000E+00,0025.800E+00,0012.500E+00,0004.500E+00
6,20130129_01:18:00,0303.000E+00,0042.100E+00,0316.000E+00,0038.700E+00
7,20130209_05:40:00,0167.000E+00,0030.500E+00,0178.000E+00,0020.500E+00
8,20130424_05:16:00,0131.000E+00,-0029.600E+00,0158.000E+00,-0030.700E+00
9,20130502_04:58:00,0197.000E+00,0012.900E+00,0199.000E+00,0011.000E+00
10,20130517_18:56:00,0130.000E+00,-0042.000E+00,0151.000E+00,-0021.500E+00
11,20130527_18:16:00,0033.000E+00,-0029.000E+00,0074.000E+00,-0027.300E+00
12,20130607_22:11:00,0122.000E+00,-0034.000E+00,0128.000E+00,-0026.000E+00