file,lon [arcsec],lat [arcsec]
AIA20101212_012907_0193.fits,[],[]
AIA20101212_020907_0193.fits,[],[]
AIA20101212_015907_0193.fits,[],[]
AIA20101212_023907_0193.fits,[],[]
AIA20101212_022907_0193.fits,[],[]
AIA20101212_030907_0193.fits,[],[]
AIA20101212_025907_0193.fits,[],[]
AIA20101212_033907_0193.fits,[],[]
AIA20101212_032907_0193.fits,[],[]
AIA20101212_040907_0193.fits,[],[]
AIA20101212_035907_0193.fits,[],[]
AIA20101212_043907_0193.fits,[],[]
AIA20101212_042907_0193.fits,[],[]
AIA20101212_050907_0193.fits,[],[]
AIA20101212_045907_0193.fits,[],[]
AIA20101212_053907_0193.fits,[],[]
AIA20101212_052907_0193.fits,"[-443.7089929971844, -416.2445962559432, -386.28341937460937, -358.8189928831998, -318.870713718934, -286.4127191461157, -381.2898882755544, -356.3222261928022, -326.3610179750249, -291.4062577362638, -258.9482510564849, -231.48377378471196]","[858.4304769693247, 848.4438097741739, 843.450593886333, 845.9475252730696, 850.941252349223, 835.9610686003315, 900.8753131321096, 893.3853384028092, 895.8822772509866, 893.3857798696696, 883.3990637841406, 863.4253808082743]"
AIA20101212_060907_0193.fits,[],[]
AIA20101212_055907_0193.fits,"[-458.6895664690528, -426.23165137530304, -391.27695002104156, -358.8189928831998, -328.85778586985543, -293.9030269035138, -266.4385614870116, -396.2704802087974, -371.30282474239357, -341.3416238843929, -303.89010270428844, -271.4321013849694, -241.47085743001662, -216.50314629659988]","[853.4368905382323, 853.4371786176616, 848.4440108084815, 835.9606096209961, 848.4444590068981, 843.4512167354447, 820.980786106101, 895.8817453652175, 900.8753927072041, 908.3657870121842, 918.35293508469, 905.8695205811772, 883.3991545832566, 850.9418004170495]"
AIA20101212_063907_0193.fits,[],[]
AIA20101212_062907_0193.fits,"[-478.6636568766553, -451.19928032811725, -423.7348877808545, -393.77371517266147, -343.83839119016193, -318.870713718934, -273.92887121485546, -243.96762816607952, -366.3092923199292, -326.3610179750249, -288.9094884835649, -263.94179142056964, -241.47085743001662, -218.99991770740598, -196.5289727866184, -171.56125075975433]","[843.4498018527455, 838.4566015587847, 838.4568383369544, 835.9603511765837, 845.9476299211931, 855.9347092820499, 838.4578681817529, 803.5037606622232, 913.3590415331341, 910.862616304099, 913.3595858882549, 898.379390103078, 880.9024277686273, 863.4254378729266, 848.4451522286938, 853.4387055377464]"
AIA20101212_070907_0193.fits,[],[]
AIA20101212_065907_0193.fits,"[-478.6636568766553, -451.19928032811725, -416.2445962559432, -376.2963567294646, -343.83839119016193, -321.36748189874925, -291.4062577362638, -381.2898882755544, -351.32869250001386, -316.37394544598646, -286.4127191461157, -258.9482510564849, -226.49023155239414, -196.5289727866184]","[845.9465274508985, 835.9598744720988, 830.9667156696423, 833.4637542493138, 830.9672531172455, 818.4837428586839, 801.0067869067753, 900.8753131321096, 913.3591569291057, 910.8626850168611, 905.8694316153261, 885.8957900832338, 868.4188613838717, 840.9549586670863]"
AIA20101212_073907_0193.fits,[],[]
AIA20101212_072907_0193.fits,"[-493.64421881129965, -466.1798513999674, -436.2187044962775, -396.27048020856455, -368.8060585851781, -343.83839119016193, -308.8836400732398, -328.85778586985543, -301.3933338858187, -271.4321013849694, -238.97408662294038, -221.49668905418366, -206.51606002589688, -186.54188462602906]","[848.4431075664046, 833.4630125297998, 828.4698211792763, 830.9668741582967, 830.9670793570474, 830.9672531172455, 810.9936212235687, 928.3396485291016, 920.8496732952613, 905.8695205811772, 895.8827973883105, 883.3992505876497, 870.9156782100913, 855.9353820360805]"
AIA20101212_080907_0193.fits,[],[]
AIA20101212_075907_0193.fits,"[-471.1733740055933, -446.20575557183474, -413.74783216929063, -383.7866538814269, -351.32869250001386, -308.8836400732398, -278.922410633415, -328.85778586985543, -303.89010270428844, -278.922410633415, -256.45148076000623, -243.96762816607952, -231.48377378471196, -199.0257446845062]","[855.9334989224354, 845.9468258924915, 835.9601927154182, 835.9604274675283, 818.4835489917175, 803.5034217684506, 803.5035880702997, 928.3396485291016, 920.8496569406482, 908.3662003167125, 898.3794312564762, 883.3991420002493, 865.9221095531389, 853.4386034557823]"
AIA20101212_083907_0193.fits,[],[]
AIA20101212_082907_0193.fits,"[-501.1344978357666, -468.6766127715818, -436.2187044962775, -403.7607746173162, -366.3092923199292, -338.8448564785067, -306.38687143381685, -343.83839119016193, -306.38687143381685, -276.42564096464776, -261.4450212768279, -233.98054479947317, -206.51606002566405, -171.56125075975433]","[828.4692287370485, 828.4695352153459, 813.4894468496618, 810.9929768059857, 818.483445582267, 801.0065054592986, 791.0197655911707, 920.8493769173091, 925.8430832633981, 915.8563845041692, 900.8761286449507, 888.3926446166233, 898.37967533722, 888.3929089025231]"
AIA20101212_090907_0193.fits,[],[]
AIA20101212_085907_0193.fits,"[-493.64421881129965, -463.68308989214717, -426.23165137530304, -393.77371517242864, -351.32869250001386, -306.38687143381685, -276.42564096464776, -316.37394544598646, -278.922410633415, -256.45148076000623, -226.49023155216128, -194.0322008309886, -156.580615083687, -129.116112167947]","[835.9594804805569, 823.4761248488138, 808.4960686648878, 805.9995901529236, 808.4966220493249, 808.4969029047123, 801.0068669825224, 930.8364569531363, 923.3465364281885, 903.3728805291125, 900.8763092161092, 890.8895497737404, 883.3995053906771, 883.3995868513921]"
AIA20101212_093907_0193.fits,[],[]
AIA20101212_092907_0193.fits,"[-491.1474588462152, -463.68308989214717, -416.2445962559432, -368.8060585851781, -333.8513213698752, -288.9094884835649, -256.45148076000623, -301.3933338858187, -271.4321013849694, -256.45148076000623, -226.49023155216128, -189.03865674999543, -139.10320471809246, -96.65805744077079]","[830.9660519379154, 818.4826681873298, 813.4896096333649, 810.9932341859277, 798.5098036930525, 796.0133318947449, 793.516762292467, 935.8299990048298, 923.3465811605323, 908.3663287429051, 900.8763092161092, 905.869924482032, 913.3602741329048, 915.8571063748026]"
AIA20101212_100907_0193.fits,[],[]
AIA20101212_095907_0193.fits,"[-506.128016452305, -478.6636568766553, -451.19928032811725, -408.75430363276973, -381.2898882755544, -351.32869250001386, -316.37394544598646, -296.39979598484933, -278.922410633415, -253.95471038878893, -218.99991770763882, -189.03865674999543, -156.580615083687, -119.12901901220901]","[830.9659060422783, 830.9661701694188, 810.9925902523776, 798.5092817136948, 803.5029498818249, 805.9998897195992, 786.026238237217, 930.8365908455511, 923.3465364281885, 910.8630660923565, 910.8632430599224, 903.3731993612503, 908.3667690929266, 898.3799757829097]"
AIA20101212_103907_0193.fits,[],[]
AIA20101212_102907_0193.fits,"[-511.12153447559103, -488.6506987374742, -446.20575557183474, -413.74783216929063, -391.27695002104156, -338.8448564785067, -316.37394544598646, -281.41918022045866, -253.95471038878893, -218.99991770763882, -194.0322008309886, -176.55479559092782, -146.59352370537817, -96.65805744077079]","[823.4756773263113, 818.4824394739954, 803.5024426343296, 803.5027062062098, 803.5028770238114, 793.5163048912895, 791.0197077731834, 928.3399643785241, 915.8565127816115, 910.8632430599224, 898.3797281304514, 895.8830704657281, 905.8700761422496, 908.366931085747]"
AIA20101212_110907_0193.fits,[],[]
AIA20101212_105907_0193.fits,"[-503.63125721784303, -491.1474588462152, -471.1733740055933, -441.2122302928474, -406.257539184764, -376.2963567294646, -318.870713718934, -278.922410633415, -248.96116942330264, -223.9934603360016, -191.5354288185481, -164.07093313825317, -136.6064316399861, -109.14192529791035]","[835.9593826323695, 825.972598265345, 813.4891436226005, 801.005753767697, 801.0060326245944, 803.5029856043528, 808.4968287393149, 930.8367008410787, 920.8499855746392, 910.8632193803841, 905.8699143662969, 898.3798414076684, 898.3799285936938, 898.3799998522182]"
AIA20101212_113907_0193.fits,[],[]
AIA20101212_113907_0193.fits,[],[]
AIA20101212_121907_0193.fits,[],[]
AIA20101212_121907_0193.fits,[],[]
AIA20101212_125907_0193.fits,[],[]
AIA20101212_125907_0193.fits,[],[]
AIA20101212_133907_0193.fits,[],[]
AIA20101212_133907_0193.fits,[],[]
